Pergunta,Contexto
O que é RAG (Retrieval-Augmented Generation)?,RAG é uma técnica que melhora a geração de respostas de LLMs ao buscar informações numa base de dados externa antes de formular a resposta final.
Qual é o papel principal do LangChain no desenvolvimento de chatbots?,LangChain é um framework que facilita a integração de LLMs com outras ferramentas permitindo criar cadeias de processamento gerir memória e ligar a bases de dados.
O que são embeddings de texto?,Embeddings são representações numéricas (vetores) de textos que capturam o significado semântico permitindo que as máquinas entendam a similaridade entre palavras e frases.
Como o Google AI Studio auxilia na criação de embeddings?,O Google AI Studio fornece APIs de modelos como o gemini-embedding que transformam textos em vetores de alta qualidade de forma rápida e escalável.
O que é um banco de dados vetorial?,É um sistema de armazenamento otimizado para guardar e buscar embeddings (vetores) permitindo consultas por similaridade semântica em vez de correspondência exata de palavras.
Por que utilizar o ChromaDB num projeto de RAG?,O ChromaDB é um banco de dados vetorial open-source leve e fácil de integrar com Python ideal para armazenar embeddings e realizar buscas semânticas eficientes localmente.
Qual a diferença entre fine-tuning e RAG?,Fine-tuning altera os pesos internos do modelo com novos dados de treino enquanto o RAG fornece o contexto relevante no momento da pergunta sem modificar o modelo original.
Como o RAG reduz alucinações de LLMs?,Ao ancorar a resposta do modelo em documentos reais recuperados de uma base de conhecimento confiável o RAG diminui drasticamente a probabilidade de a IA inventar informações.
O que é a etapa de Retrieval (Recuperação) no RAG?,É o processo de buscar no banco de dados vetorial os documentos e fragmentos mais similares semanticamente à pergunta feita pelo utilizador.
O que é a etapa de Generation (Geração) no RAG?,É o momento em que o LLM recebe a pergunta original juntamente com o contexto recuperado da base de dados e gera uma resposta coerente e fundamentada.
Como a engenharia de dados se aplica na construção de um sistema RAG?,A engenharia de dados atua na extração limpeza transformação e carregamento (ETL) dos documentos que formarão a base de conhecimento garantindo dados de alta qualidade para os embeddings.
O que é chunking no processamento de texto para RAG?,Chunking é a técnica de dividir documentos longos em pedaços menores (chunks) para que os embeddings capturem contextos mais precisos e caibam no limite de tokens do LLM.
Qual é a importância do tamanho do chunk (chunk size)?,Um chunk muito grande pode diluir a informação específica enquanto um muito pequeno pode perder o contexto geral. O tamanho ideal depende da estrutura dos dados e do caso de uso.
O que é a métrica de similaridade de cosseno?,É uma medida matemática utilizada em bancos vetoriais para calcular o quão próximos e similares dois embeddings estão num espaço multidimensional.
Como o Flask é utilizado na arquitetura deste projeto?,O Flask atua como o backend (API) recebendo as perguntas do frontend em React processando a busca no ChromaDB e comunicando-se com a API do Gemini.
Qual a vantagem de utilizar React para o frontend do chatbot?,O React permite criar uma interface de utilizador dinâmica componentizada e reativa atualizando o ecrã de chat em tempo real sem recarregar a página.
Como o estado da conversa é mantido no frontend?,Em React o histórico do chat é geralmente armazenado em estados (como o useState) e atualizado a cada nova interação entre o utilizador e o assistente virtual.
O que é um prompt de sistema (system prompt) num LLM?,São as instruções iniciais e invisíveis para o utilizador que definem o comportamento o tom e as regras estritas que a IA deve seguir ao gerar as respostas.
Por que é importante limpar e formatar os dados antes de gerar os embeddings?,Dados sujos ou mal formatados geram embeddings ruidosos o que prejudica a qualidade da busca vetorial e consequentemente a precisão das respostas do RAG.
Como tratar atualizações na base de conhecimento do RAG?,Através de pipelines de dados automatizados que identificam novos documentos geram os novos embeddings correspondentes e os inserem no banco vetorial (ChromaDB).
O que são metadados num banco de dados vetorial?,São informações adicionais associadas a um embedding (ex: data de criação autor categoria) que permitem filtrar a busca antes de calcular a similaridade matemática.
É possível combinar busca vetorial com busca por palavras-chave?,Sim essa técnica é chamada de busca híbrida e melhora a precisão ao unir o entendimento semântico profundo com a exatidão de termos ou siglas específicas.
Qual o papel da API do Gemini neste sistema?,A API do Gemini é responsável por duas funções vitais: gerar os embeddings dos textos da base de dados e atuar como o LLM gerador da resposta final.
O que acontece se a resposta para a pergunta não estiver no ChromaDB?,O sistema RAG deve ser instruído via prompt para informar educadamente que não possui a informação evitando gerar respostas baseadas apenas no conhecimento prévio e não verificado do LLM.
Como avaliar a qualidade de um sistema RAG?,Pode-se avaliar a relevância dos documentos recuperados (métricas de precisão e recall) e a fidelidade da resposta gerada em relação ao contexto restrito fornecido.
